fuente,archivo,formato,ruta_relativa,procedencia,periodo,grano,clave_esperada,tamano_bytes,sha256_manifiesto,sha256_calculado,hash_coincide,filas,columnas
malla,malla_500m_loja_maestra.gpkg,GeoPackage,02_datos/raw/malla/malla_500m_loja_maestra.gpkg,08_malla_500m/productos/malla_500m_loja_maestra.gpkg,no aplica,una fila por celda,cell_index; cell_id,2297856,fccff14a88ead66340b339a9463f0e56ff78f1bedd23decd600936e1e4d177a4,fccff14a88ead66340b339a9463f0e56ff78f1bedd23decd600936e1e4d177a4,True,7997,23
viirs,viirs_evidencia_500m_celda_mes_2019_2025_v1_0_3.csv,CSV,02_datos/raw/viirs/viirs_evidencia_500m_celda_mes_2019_2025_v1_0_3.csv,09_integracion_variables/productos/viirs_500m/viirs_evidencia_500m_celda_mes_2019_2025_v1_0_3.csv,2019-2025,"una fila por cell_index, anio y mes",cell_index + anio + mes,113613311,8b2e676a17c4dde44196cda829a1da01a6bf5e5cfce732b69958160a257cb939,8b2e676a17c4dde44196cda829a1da01a6bf5e5cfce732b69958160a257cb939,True,671748,19
chirps,chirps_500m_celda_mes_2019_2025.csv,CSV,02_datos/raw/chirps/chirps_500m_celda_mes_2019_2025.csv,09_integracion_variables/productos/chirps_500m/chirps_500m_celda_mes_2019_2025.csv,2019-2025,"una fila por cell_index, anio y mes",cell_index + anio + mes,111263101,9ec517e6de363c493298d341ae4ad97d87a5fe45fd0d5b73882a50d4315e936d,9ec517e6de363c493298d341ae4ad97d87a5fe45fd0d5b73882a50d4315e936d,True,671748,21
