fuente,ambito,variable,tipo_fuente,tipo_inferido,filas,no_nulos,nulos,porcentaje_nulos,valores_distintos,minimo,maximo,valores_frecuentes
viirs,periodo_2023,asset_fuente,texto CSV,texto,95964,95964,0,0.000000,12,,,users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_01:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_02:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_03:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_04:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_05:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_06:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_07:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_08:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_09:7997 | users/cguillermo2/fire_risk_loja/viirs_preprocesado_mensual/VIIRS_PREP_2023_10:7997
viirs,periodo_2023,cell_index,texto CSV,entero,95964,95964,0,0.000000,7997,0,7996,alta cardinalidad
viirs,periodo_2023,mes,texto CSV,entero,95964,95964,0,0.000000,12,1,12,1:7997 | 10:7997 | 11:7997 | 12:7997 | 2:7997 | 3:7997 | 4:7997 | 5:7997 | 6:7997 | 7:7997
viirs,periodo_2023,viirs_detecciones_nominal_alta_support_mean,texto CSV,decimal,95964,95064,900,0.937852,280,0,2.95652173913044,alta cardinalidad
viirs,periodo_2023,viirs_detecciones_todas_support_mean,texto CSV,decimal,95964,95064,900,0.937852,286,0,2.95652173913044,alta cardinalidad
viirs,periodo_2023,viirs_dias_validos_support_mean,texto CSV,decimal,95964,95064,900,0.937852,4,28,31,31.0:47532 | 30.0:31688 | 28.0:7922 | 29.0:7922
viirs,periodo_2023,viirs_disponibilidad_support_pct,texto CSV,decimal,95964,95064,900,0.937852,2,93.5483856201172,100,100.0:87142 | 93.54838562011719:7922
viirs,periodo_2023,viirs_evidencia_fuego_any,texto CSV,entero,95964,95064,900,0.937852,2,0,1,0:94317 | 1:747
viirs,periodo_2023,viirs_evidencia_fuego_nominal_alta_any,texto CSV,entero,95964,95064,900,0.937852,2,0,1,0:94355 | 1:709
viirs,periodo_2023,viirs_frp_maxima_support_mean_mw,texto CSV,decimal,95964,95064,900,0.937852,688,0,229.399993896484,alta cardinalidad
viirs,periodo_2023,viirs_frp_suma_observada_support_mean_mw,texto CSV,decimal,95964,95064,900,0.937852,699,0,327.899993896484,alta cardinalidad
viirs,periodo_2023,viirs_observado_support_mean,texto CSV,decimal,95964,95064,900,0.937852,1,1,1,1.0:95064
viirs,periodo_2023,viirs_observed_support_frac,texto CSV,decimal,95964,95064,900,0.937852,1,1,1,1.0:95064
viirs,periodo_2023,viirs_presencia_fuego_nominal_alta_support_frac,texto CSV,decimal,95964,95064,900,0.937852,241,0,1,alta cardinalidad
viirs,periodo_2023,viirs_presencia_fuego_support_frac,texto CSV,decimal,95964,95064,900,0.937852,247,0,1,alta cardinalidad
viirs,periodo_2023,viirs_soporte_nativo_m,texto CSV,decimal,95964,95964,0,0.000000,1,926.625433055833,926.625433055833,926.625433055833:95964
viirs,periodo_2023,viirs_source_coverage_frac,texto CSV,decimal,95964,95064,900,0.937852,1,1,1,1.0:95064
